experiment,strategy,target_cefr,text_id,original,simplified,reference,gold_cefr,pred_cefr,conf_score,meaningbert,bertscore,prob_A1,prob_A2,prob_B1,prob_B2
A2_1_baseline,1_baseline,A2,22-a2,"One of the most interesting cases of wild animals living in a city are the wild dogs of Moscow. In Moscow, there are approximately 35,000 wild dogs living on the streets. Some of the dogs were born wild, while others are pets that have been abandoned by their owners. Some dogs live alone and others live in packs. In 2010, scientists studied the dogs and found that the dogs have adapted remarkably successfully to urban life. They have learned that it is safer to cross the street with people and some dogs appear to understand traffic lights.","The wild dogs of Moscow are a special example of animals living in a city.
About 35,000 wild dogs live on the streets in Moscow.
Some dogs were born wild. Other dogs were pets, but their owners left them.
Some dogs live alone, and others live in groups.
In 2010, people studied these dogs. They found that the dogs are very good at living in the city.
They learned it is safer to cross the street with people.
Some dogs also seem to know about traffic lights.","There are many wild dogs in Moscow, about 35,000. Some were born wild, and some were pets but left by their owners. Some live alone and others live in groups. In 2010, scientists studied the dogs. They found that the dogs have learned how to live in the city. Some dogs wait and cross the street with people. A few dogs even seem to know traffic lights.",A2,A2,0.9999,67.08,0.9424,0.0,0.9999,0.0,0.0
A2_1_baseline,1_baseline,A2,34-a2,"Is graffiti art or vandalism? This depends on your point of view, but in many countries, writing or painting on public or private property is considered vandalism. Many street artists have been stopped by the police and some have had to pay fines. Many city councils complain about the high cost of cleaning graffiti off buildings, buses and trains. ","Is graffiti art or bad? People have different ideas.
In many countries, painting on public or private places is not allowed.
Police stop many people who do graffiti. These people must pay money.
City leaders say it costs a lot to clean buildings, buses, and trains from graffiti.","Some people think graffiti is art. Others think it is bad. In many countries, painting on public or private places is not allowed. The police often stop street artists, and some must pay fines. Many cities say that cleaning graffiti from buildings and buses costs a lot of money.",A2,A2,0.9994,67.97,0.9406,0.0001,0.9994,0.0005,0.0
A2_1_baseline,1_baseline,A2,21-a2,"Your dreams might show you all kinds of insights into things that you didn't realise you were thinking about. Common dreams like being able to fly or falling, your teeth falling out or having no clothes on in a public place probably mean something similar in most people. But the key to understanding exactly what they mean to you is to connect them to the events and feelings in your daily life.","Dreams can show you things you think about, but don't know it.

Some dreams are common. For example, you might dream you can fly, or you are falling. You might dream your teeth fall out, or you have no clothes on in public. These dreams often mean the same thing for many people.

But to know what your dreams mean for *you*, think about your daily life. Think about what happens and how you feel each day.","People have different dreams when they sleep. Some common dreams are flying, falling, losing teeth, or being outside with no clothes. These dreams often mean the same thing for many people. To know what your dream means, think about what is happening in your life and how you feel.",A2,A2,0.9998,88.51,0.9108,0.0,0.9998,0.0001,0.0
A2_1_baseline,1_baseline,A2,36-a2,"If most people have four to six dreams every night after the age of ten, that's as many as 2,000 dreams per year. So, by the time they reach 80 years old the average person might have had 140,000 dreams. Even if we forget 95–99 per cent of our dreams, that's still a few thousand remembered dreams across a lifetime. It's not too difficult to believe that, by coincidence, a dream event is followed by a real-life event that's similar to it, especially if the subject of the dream is something that happens often in everyday life.","Most people have 4 to 6 dreams every night after they are 10 years old. This means about 2,000 dreams each year.
When a person is 80 years old, they might have 140,000 dreams.
We forget almost all our dreams (95-99%). But we still remember a few thousand dreams in our life.
It is easy to think that sometimes a dream happens in real life. This happens more if the dream is about normal things we do every day.","Most people have 4 to 6 dreams every night after they turn 10. That means around 2,000 dreams every year. By age 80, a person may have about 140,000 dreams. Even if we forget 95?C99% of our dreams, we still remember many. So, it's not strange if something we dream later happens in real life, especially if it is something we often see in daily life.",A2,A2,0.9999,83.56,0.9398,0.0,0.9999,0.0,0.0
A2_1_baseline,1_baseline,A2,31-a2,"An important inspiration for the Hunger Games book comes from Suzanne's love of classical Greek mythology. When she was a child, one of her favourite stories was Theseus and the Minotaur. In this story the city of Athens is ruled by Crete, but the Athenians rebel. As a punishment, Minos the king of Crete forces the Athenians to send seven boys and seven girls to Crete every year. The youths are thrown into the labyrinth and eaten by a monster that lives there called the Minotaur. But one of the youths, named Theseus, fights the Minotaur and kills it. Suzanne sees Katniss Everdeen as a futuristic Theseus.","Suzanne loved old Greek stories. These stories gave her an important idea for The Hunger Games book.

When she was a child, she loved the story of Theseus and the Minotaur. In this story, the city of Athens was controlled by Crete. But the people of Athens fought back.

So, King Minos of Crete made Athens send seven boys and seven girls to Crete every year. These young people went into a big maze. A monster called the Minotaur lived there and ate them.

But one young man, Theseus, fought the Minotaur and killed it. Suzanne thinks Katniss Everdeen is like Theseus, but in the future.","The writer of The Hunger Games, Suzanne, got the idea from old Greek stories. When she was young, she liked the story of Theseus and the Minotaur. In the story, the city of Athens must send children to a monster called the Minotaur every year. The Minotaur lives in a maze and eats the children. One boy, Theseus, fights the monster and kills it. Suzanne thinks Katniss, the main character in The Hunger Games, is like Theseus, but in the future.",A2,A2,0.9996,63.4,0.9179,0.0001,0.9996,0.0003,0.0
A2_1_baseline,1_baseline,A2,32-a2,"By bringing people and animals together, zoos have the potential to educate the public about conservation issues and inspire people to protect animals and their habitats. Some zoos provide a safe environment for animals which have been mistreated in circuses, or pets which have been abandoned. Zoos also carry out important research into subjects like animal behaviour and how to treat illnesses.","Zoos bring people and animals together. They can teach people about animals. They can help people want to protect animals and their homes.

Some zoos give a safe home to animals. These animals were hurt in circuses or left by people.

Zoos also do important studies. They learn about how animals act. They also learn how to help sick animals get better.",Zoos bring people and animals together. They help people learn how to protect animals and nature. Some zoos give homes to animals that were hurt in circuses or left by their owners. Zoos also study animal behavior and how to help sick animals.,A2,A2,0.9988,60.87,0.9413,0.001,0.9988,0.0002,0.0
A2_1_baseline,1_baseline,A2,38-a2,"Often wild animals come into cities to look for food. In Cape Town, South Africa, baboons have started coming into residential areas on the edge of the city to feed. They open rubbish bins and eat fruit from gardens and orchards. Some brave baboons have even come into people's houses and taken food from kitchen cupboards and fridges! Baboons can be aggressive and have attacked a lot of pet animals, so understandably, many city residents don't welcome their presence.","Wild animals often come to cities to find food. In Cape Town, South Africa, baboons now come to houses near the city to eat. They open trash cans and eat fruit from gardens and trees. Some baboons are not scared. They even go into houses and take food from kitchen shelves and fridges! Baboons can be mean. They have hurt many pets. So, people in the city do not want them there.","Wild animals often go into cities to look for food. In Cape Town, South Africa, baboons now go into areas near people's homes. They open rubbish bins and eat fruit from gardens. Some baboons are very brave and go into houses to take food from kitchens. Baboons can be dangerous and sometimes hurt pet animals. Many people in the city do not want them around.",A2,A2,0.9991,65.35,0.9597,0.0008,0.9991,0.0002,0.0
A2_1_baseline,1_baseline,A2,29-a2,"Sam squinted against the sun at the distant dust trail raked up by the car on its way up to the Big House. The horses kicked and flicked their tails at flies, not caring about their owner's first visit in ten months. Sam waited. Mr Carter didn't come out here unless he had to, which was just fine by Sam. The more he kept out of his boss's way, the longer he'd have a job. Mr, Carter wiped the sweat from the back of his neck. The damp patches on his shirt drew together like shapes in an atlas. His skin was already turning ruddy in the June sun. Otherwise he had the indoor tan of a man that made money while other people did the work.","Sam looked at the sun. He saw dust from a car far away. The car was going to the big house.

The horses moved their legs and tails because of flies. They did not care that their owner was visiting. He had not come for ten months.

Sam waited. Mr Carter only came here if he needed to. Sam liked this. If Sam stayed away from his boss, he would keep his job longer.

Mr Carter wiped sweat from his neck. His shirt was wet. His skin was getting red in the sun. He usually stayed inside. He looked like a man who worked inside.","Sam looked at a car coming to the Big House. The car made a lot of dust. The horses moved their tails to stop the flies. They didn't care that their owner was coming after ten months. Sam waited. Mr. Carter came only when he had to, and Sam liked that. If he stayed away from his boss, he could keep his job. Mr. Carter wiped his neck. His shirt was wet from sweat. His skin was red from the hot June sun. Normally, he stayed inside and made money while others worked.",A2,A2,0.9985,56.63,0.9308,0.0006,0.9985,0.0009,0.0
A2_1_baseline,1_baseline,A2,43-a2,"Underutilised items may seem useless to some, but could be an asset to others. With the advent of the internet, online communities have figured out a way to generate profit from the sharing of those underused assets. Using websites and social media groups that facilitate the buying and selling of second-hand goods, it is now easier than ever for peer-to-peer sharing activities to take place. And this is known as the sharing economy.","You might not use some things. Other people might want them.

Now we have the internet. People online found a way to make money. They share things they don't use.

Websites and social media help people buy and sell used things. It is very easy for people to share things with each other.

This is called the sharing economy.","Things that we don't use much may look useless, but other people may need them. With the internet, people have found a way to share these things and make money. Website and social media groups now help people to buy and sell used goods. It is easy for people to share with each other in this way. This is the sharing economy.",A2,A2,0.994,70.26,0.9297,0.0005,0.994,0.0055,0.0
A2_1_baseline,1_baseline,A2,42-a2,"According to Campbell, the hero at first refuses the call to adventure, but a mentor appears who helps them and they decide to 'cross the threshold' and travel into the 'special world' where the adventure happens. The next stage consists of passing tests, fighting enemies and meeting friends as the hero prepares to face their biggest challenge. For Luke the mentor is, of course, Obi-Wan, the friends are Han Solo and the robots R2D2 and C3PO and the enemy is Darth Vader inside the special world of the Death Star.","First, the hero does not want to go on an adventure.
Then, a helper comes. The helper helps the hero.
So, the hero goes to a special new place. This is where the adventure happens.
Next, the hero must do hard things. They fight bad people and meet friends.
This makes the hero ready for a very big problem.

For Luke, Obi-Wan is the helper.
His friends are Han Solo, R2D2, and C3PO.
Darth Vader is the bad guy.
The special place is the Death Star.","Campbell says that first, the hero does not want to go on the adventure. Then a teacher, also a mentor, comes to help. The hero then goes into a ""special world"" where the adventure happens. In this world, the hero has to do tests, fight enemies, and meet new friends before the biggest fight. Luke's teacher is Obi-Wan, his friends are Han solo and the robots R2D2 and C3PO, and his enemy is Darth Vader inside the Death Star.",A2,A2,0.9995,53.37,0.9144,0.0003,0.9995,0.0002,0.0
A2_1_baseline,1_baseline,A2,33-a2,"A different trend is springing up in opposition to consumerism – the 'buy nothing' trend. The idea originated in Canada in the early 1990s and then moved to the US, where it became a rejection of the overspending and overconsumption of Black Friday and Cyber Monday during Thanksgiving weekend. On Buy Nothing Day people organise various types of protests and cut up their credit cards. Throughout the year, Buy Nothing groups organise the exchange and repair of items they already own.","A new idea is starting. It is called 'buy nothing'. It means people do not want to buy too many things.

This idea started in Canada in the 1990s. Then it came to the US. People did not like buying too much on Black Friday and Cyber Monday. These days are after Thanksgiving.

On Buy Nothing Day, people protest in different ways. They also cut their credit cards.

All year, Buy Nothing groups help people swap and fix things they already have.","Some people are starting a new idea called the 'buy nothing' trend. It began in Canada in the 1990s and then went to the USA. These people don't like buying too much on days like Black Friday and Cyber Monday. On 'Buy Nothing Day', people protest and cut their credit cards. During the year, they also fix and trade things instead of buying new ones.",A2,A2,0.9985,68.29,0.9336,0.0001,0.9985,0.0014,0.0
A2_1_baseline,1_baseline,A2,41-a2,"Another suggested defence against a PHA on course to hit Earth is to blow it up using a nuclear weapon. It may sound like a plot from a film, and it was the subject of the 1998 film Armageddon, but the Hypervelocity Asteroid Mitigation Mission for Emergency Response (HAMMER) is a genuine NASA proposal. The eight-ton rockets would be fired at an approaching asteroid with the hope of bumping it off course. If the asteroid was too close to Earth for this plan to work, the rockets would carry nuclear bombs to blow it up instead.","One idea to stop a space rock coming to Earth is to blow it up with a nuclear bomb. This sounds like a movie story, like in the film Armageddon. But NASA has a real plan for this. It's called HAMMER.

They would shoot big rockets at the space rock. The rockets would push it away from Earth. If the space rock is too close, the rockets would have nuclear bombs to blow it up.","One way to stop an asteroid from hitting Earth is to break it with a strong bomb, which is nuclear weapon. This may sound like a movie, and it was in the 1998 film Armageddon. But NASA had a real plan on this. The plan was to send big rockets, about eight tons, to hit the asteroid and push it away. If the asteroid is already too close to Earth, the rocket would take the nuclear bomb to blow it up.",A2,A2,0.9987,85.78,0.9337,0.0003,0.9987,0.0009,0.0
A2_1_baseline,1_baseline,A2,48-a2,"Religion is important to Pi. Though his family is Hindu, he is curious about other religions and he makes friends with a Christian priest and a Muslim baker. To everyone's surprise, Pi declares himself to be simultaneously Hindu, Muslim and Christian. When his family and teachers ask him to choose just one religion, Pi refuses, saying 'I just want to love God'. From that moment, his family and teachers decide to let him make his own mind up about religion.","Religion is important to Pi. His family is Hindu. But Pi wants to know about other religions. He makes friends with a Christian priest and a Muslim baker. Everyone is surprised. Pi says he is Hindu, Muslim, and Christian. His family and teachers ask him to choose one religion. Pi says no. He says, 'I just want to love God.' After that, his family and teachers let him choose his own religion.","Religion is important for Pi. His family is Hindu, but he is also interested in other religions. He makes friends with a Christian priest and a Muslim baker. One day, Pi says that he is Hindu, Muslim, and Christian at the same time. His family and teachers ask him to choose only one religion, but Pi says, ""I just want to love God."" After this, his family and teachers let him choose his way.",A2,A2,0.9985,87.84,0.9648,0.0015,0.9985,0.0,0.0
A2_1_baseline,1_baseline,A2,55-a2,"In her previous work environment, Gabriela was used to a high power distance culture where power and authority are respected and everyone has their rightful place. In such a culture, leaders make the big decisions and are not often challenged. Her Swedish team, however, were used to working in a low power distance culture where subordinates often work together with their bosses to find solutions and make decisions. Here, leaders act as coaches or mentors who encourage independent thought and expect to be challenged.","Gabriela's old job was a place where bosses were very important. People respected the bosses. Bosses made all the big decisions, and workers did not question them.

But her team in Sweden was different. Here, workers often worked with their bosses. They found solutions and made decisions together. Bosses helped people. They wanted workers to think for themselves and ask questions.","In her old job, Gabriela worked in a place with high power distance. This means people respect authority, and leaders make the big decisions. Workers do not usually question their bosses. But her Swedish team worked in a low power distance culture. Here, workers and bosses make decisions together. Leaders act like coaches or teachers, and they want workers to think for themselves and even question them.",A2,A2,0.9994,56.68,0.9234,0.0002,0.9994,0.0004,0.0
A2_1_baseline,1_baseline,A2,26-a2,"I work for a global IT company, but because their headquarters is in the States, I do all my work online from home. That means that I don't waste time commuting or making idle chit-chat with colleagues. I work on a project basis, and this flexibility is very valuable to me because it means that I can easily take some time off when my children need me to go to their school performances or if I need to schedule an appointment with the dentist. The downside is that without clear office hours, I tend to work well into the evening, sometimes skipping dinner to finish a task. ","I work for a big computer company. Its main office is in America. So, I work from home on the internet.
I don't travel to work. I also don't talk a lot with co-workers.
I work on different jobs. This is good for me. I can take time off easily. For example, when my children have school shows. Or when I need to go to the dentist.
But there is a problem. I don't have clear work hours. So, I often work late. Sometimes I don't eat dinner to finish my work.","I work for a large IT company, but I work from home because the office is in the USA. I do everything online. This is good because I don't waste time going to work or talking too much with coworkers. I work on different projects, and this is helpful. I can take time off if my children have a school show or if I need to see the dentist. But there is a problem: I don't have fixed hours, so I often work late and sometimes skip dinner to finish my work.",A2,A2,0.9994,65.05,0.9426,0.0003,0.9994,0.0003,0.0
A2_1_baseline,1_baseline,A2,49-a2,"Some people think writing your dreams down can open your mind to lucid dreaming. Lucid dreams are dreams where you're not only aware you're dreaming but you can make decisions to affect the events of your dreams. So, maybe you can turn a nightmare into a safe-feeling dream, or you can direct the plot of your dream like a film director. Then, instead of just working out the meaning of your dreams, you'll be creating them, though you might want to continue having some dreams that allow your subconscious to tell you what's on your mind! ","Some people think writing your dreams helps you have lucid dreams.
Lucid dreams are when you know you are dreaming.
In these dreams, you can choose what happens.
You can change a bad dream to a good one.
You can control your dream, like a movie director.
So, you make your dreams. You don't just think about what they mean.
But sometimes, it's good to let your mind show you things in dreams.","Some people think that writing down dreams in a notebook can help them have lucid dreams. A lucid dream is when you know you are dreaming, and you can change what happens. For example, you can make a bad dream feel safe, or you can control the story like a movie director. In this way, you are not only looking for the meaning of your dreams, but also making them. But sometimes, you may still want dreams that show what is in your mind.",A2,A2,0.9994,82.82,0.9282,0.0001,0.9994,0.0005,0.0
A2_1_baseline,1_baseline,A2,45-a2,"I'm a freelancer and work for myself. This is great because I am in control of what I do and how I spend my time. At first, I was working from home, but I found it really hard to concentrate. There were just too many distractions around: housework that needed doing, another cup of tea, my family members wanting my attention for various things. So I started to go to a nearby café to work, but the Wi-Fi connection wasn't ideal and I found myself drinking too much coffee. In the end, I decided to rent a desk in a co-working space with five other freelancers like myself. I liked getting dressed to go to work in the morning and being able to focus in an office environment.","I work for myself. This is good because I choose my work and my time.

First, I worked at home. But it was hard to focus. Many things stopped me. I had housework, tea, and my family needed me.

So I went to a cafe to work. But the internet was bad, and I drank too much coffee.

Finally, I rented a desk in a shared office. Five other people like me worked there.

I liked getting ready for work in the morning. I could focus well in the office.","I am a freelancer, so I work for myself. This is good as I can choose what to do and how to spend my time. At first, I worked at home, but it was hard to focus. There were many things around me, like housework, making tea and families asking for attention. Then I tried to work in a cafe, but the internet was not good and I drank too much coffee. In the end, I rented a desk in a co-working space with five other freelancer. I liked dressing up for the office and going to work in the morning.",A2,A2,0.9995,68.95,0.9259,0.0001,0.9995,0.0003,0.0
A2_1_baseline,1_baseline,A2,54-a2,"Faith47 is from Cape Town in South Africa. She paints big, colourful pictures of people and animals and likes to explore different locations. Her work is found on pavements, in empty factories and on abandoned cars. She likes the fact that most street art is temporary and will soon be removed by weather or cleaners from the city council. For her, this reflects how life is full of change with its cycle of endings and new beginnings.","Faith47 is from Cape Town in South Africa. She paints big, colourful pictures of people and animals. She likes to see new places. You can see her art on streets, in empty buildings, and on old cars. She likes that most street art does not stay for a long time. The rain or city workers clean it away soon. For her, this shows that life changes a lot. Things end, and new things start.","Faith47 comes from Cape Town in South Africa. She paints big, colourful pictures of people and animals. She likes to paint in many places, like on pavements, in empty factories, and on old cars. And we can see her work in these places. She enjoys that street art does not last forever and will be removed by rain or by city cleaners. For her, this shows that life is always changing, with things ending and new beginnings.",A2,A2,0.9997,83.9,0.9529,0.0003,0.9997,0.0,0.0
A2_1_baseline,1_baseline,A2,44-a2,"Around the 18th and 19th centuries two main ideas about dreams became popular. One was the idea that the things we see in our dreams represent things hidden from our conscious mind. Freud believed that if we understand what dreams are telling us, we can understand our hidden feelings and the problems they cause. However, the other theory was the opposite. It said that dreams are just a collection of random activity in the brain while it's organising memories and events from the day. When we wake up, we try to make sense of these random images and feelings and put them into some sort of story.","A long time ago, in the 1700s and 1800s, people had two main ideas about dreams.

One idea was that what we see in dreams means things we don't know when we are awake. A man called Freud thought that if we know what our dreams mean, we can understand our secret feelings and why we have problems.

But the other idea was very different. It said dreams are just random things our brain does when it puts together memories and things from the day. When we wake up, we try to understand these mixed-up pictures and feelings and make them into a story.","In the 18th and 19th centuries, people had two main ideas about dreams. The first idea was that dreams show things that we dont know in our mind. Freud believed that if we look at dreams, we can understand our hidden feelings and problems. The second idea was opposite. It said dreams are only random things in the brain when it is cleaning and organising the day's memories. When we wake up, we try to make a story from these pics and feelings.",A2,A2,0.9971,81.8,0.9285,0.0001,0.9971,0.0027,0.0
A2_1_baseline,1_baseline,A2,52-a2,"Blek le Rat started out painting rats on the walls of his home city, Paris. Nowadays, he tries to make people think about different social issues and problems. He paints pictures of homeless people in big cities to encourage residents to think about the problem of homelessness.","Blek le Rat first painted rats on walls in his city, Paris. Now, he wants people to think about problems for people. He paints people with no home in big cities. He wants people in the city to think about this problem.","Blek le Rat began by painting rats on the walls of Paris, his home city. Now, he uses his art to talk about social problems. In big cities, he paints pictures of homeless people to make others think about homelessness.",A2,A2,0.9955,62.4,0.9365,0.0035,0.9955,0.0009,0.0
